Question	Answer	Source	Metadata
¿Cuándo ganó España su primera Copa del Mundo?|¿En qué año ganó España el Mundial?|¿Cuántos mundiales ha ganado España?|¿Dónde ganó España su único Mundial?	España ganó su primera y única Copa del Mundo en 2010 en Sudáfrica. La final se jugó el 11 de julio de 2010 en el Soccer City de Johannesburgo, donde España venció a Holanda 1-0 con gol de Andrés Iniesta en el minuto 116 de la prórroga. Vicente del Bosque era el entrenador.	seleccion_espanola	category:seleccion|year:2010|competition:mundial
¿Cuántas Eurocopas ha ganado España?|¿En qué años ganó España la Eurocopa?|¿Cuántas veces ha sido campeona España de Europa?|¿Cuál fue la primera Eurocopa de España?	España ha ganado 4 Eurocopas (récord compartido con Alemania): 1964 en España, 2008 en Austria y Suiza, 2012 en Polonia y Ucrania, y 2024 en Alemania. España es una de las selecciones más exitosas de Europa en este torneo.	seleccion_espanola	category:seleccion|competition:eurocopa
¿Quién es el máximo goleador de la selección española?|¿Quién ha marcado más goles con España?|¿Cuántos goles tiene David Villa con España?|¿Quién es el máximo artillero de España?	David Villa es el máximo goleador histórico de la selección española con 59 goles en 98 partidos internacionales. Villa jugó para España entre 2005 y 2017 y fue clave en la consecución de la Eurocopa 2008, el Mundial 2010 y la Eurocopa 2012.	seleccion_espanola	category:jugadores|player:David Villa
¿Quién fue el entrenador de España en el Mundial 2010?|¿Quién entrenaba a España cuando ganó el Mundial?|¿Quién era el seleccionador español en 2010?	Vicente del Bosque fue el entrenador de la selección española que ganó el Mundial de 2010 en Sudáfrica. También dirigió a España en la consecución de la Eurocopa 2012, convirtiéndose en uno de los entrenadores más exitosos de la historia del fútbol español.	seleccion_espanola	category:entrenadores|year:2010
¿Qué jugadores españoles han ganado el Balón de Oro?|¿Qué españoles han sido Balón de Oro?|¿Ha ganado algún español el Balón de Oro?|¿Quién fue el último español en ganar el Balón de Oro?	Dos jugadores españoles han ganado el Balón de Oro: Luis Suárez en 1960 (Barcelona) y Rodri en 2024 (Manchester City). Rodri se convirtió en el primer español en ganar el premio en 64 años tras su actuación clave en el triplete del Manchester City y la Eurocopa 2024.	jugadores_historicos	category:premios|award:balon_oro
¿Quién es el máximo goleador de la historia de La Liga?|¿Quién ha marcado más goles en La Liga?|¿Cuántos goles tiene Messi en La Liga?|¿Quién es el máximo artillero de la Liga española?	Lionel Messi es el máximo goleador histórico de La Liga con 474 goles en 520 partidos con el FC Barcelona entre 2004 y 2021. Le sigue Cristiano Ronaldo con 311 goles en 292 partidos con el Real Madrid entre 2009 y 2018.	la_liga	category:records|competition:la_liga
¿Qué equipo ha ganado más títulos de La Liga?|¿Cuántas Ligas ha ganado el Real Madrid?|¿Qué equipo es el más laureado de España?|¿Cuántos títulos tiene el Barcelona en La Liga?	El Real Madrid es el club con más títulos de La Liga con 36 campeonatos (hasta 2024). Le sigue el FC Barcelona con 27 títulos y el Atlético de Madrid con 11 títulos.	la_liga	category:palmares|competition:la_liga
¿Quién ganó La Liga en la temporada 2023-2024?|¿Quién fue el campeón de La Liga 2024?|¿Qué equipo ganó la Liga española más reciente?	El Real Madrid ganó La Liga en la temporada 2023-2024, su título número 36. El equipo dirigido por Carlo Ancelotti se proclamó campeón con varias jornadas de antelación, destacando el rendimiento de Jude Bellingham como máxima estrella.	la_liga	category:actualidad|year:2024
¿Cuál es el récord de puntos en una temporada de La Liga?|¿Cuántos puntos máximos se han conseguido en La Liga?|¿Qué equipo tiene el récord de puntos en una Liga española?	El FC Barcelona tiene el récord de puntos en una temporada de La Liga con 100 puntos conseguidos en la temporada 2012-2013 bajo el mando de Tito Vilanova. El Real Madrid también logró 100 puntos en la temporada 2011-2012 con José Mourinho.	la_liga	category:records|record_type:points
¿Cuántas Champions League ha ganado el Real Madrid?|¿Cuántas Copas de Europa tiene el Real Madrid?|¿Qué equipo ha ganado más Champions?|¿Cuándo ganó el Real Madrid su última Champions?	El Real Madrid ha ganado 15 UEFA Champions League (hasta 2024), siendo el club más exitoso en la historia de la competición. Sus títulos son: 1956, 1957, 1958, 1959, 1960, 1966, 1998, 2000, 2002, 2014, 2016, 2017, 2018, 2022 y 2024.	champions_league	category:palmares|competition:champions|team:Real Madrid
